Organisation;Number of project
4370;EUROPEES NETWERK CULTURELE CENTRA IVZW;1
4371;EUROPEJSKIE REGIONALNE CENTRUM EKOHYDROLOGII POLSKIEJ AKADEMII NAUK;2
4372;EUROPESE FEDERATIE VAN VERENIGINGEN VAN DIETISTEN;1
4373;EUROPLAN UK LTD;1
4374;EUROPOS SOCIALINIAI TEISINIAI IR EKONOMINIAI PROJEKTAI;1
4375;EUROPROXIMA;1
4376;EUROQUALITY SARL;2
4377;EURORDIS - EUROPEAN ORGANISATION FOR RARE DISEASES ASSOCIATION;1
4378;EUROSOL PROJEKT UND MANAGEMENT GMBH;1
4379;EUROSPACE;2
4380;EUROSPACE CENTER TRAINING;1
4381;EUROSPORTELLO-SERVIZI INFORMATIVI PER LE IMPRESE;1
4382;EUROSPORTELLO CONFESERCENTI;2
4383;EUROSPUMA SOCIEDADE INDUSTRIAL DE ESPUMAS SINTETICAS SA;1
4384;EUROTECH SPA;1
4385;EuroVacc Foundation;1
4386;EUSEA - EUROPAISCHE GESELLSCHAFT FUR WISSENSCHAFTSVERANSTALTUNGEN;2
4387;EUSKALTEL SA;1
4388;EUTEMA GMBH;3
4389;EUVITRO SLU;1
4390;EV GROUP E. THALLNER GMBH;4
4391;EVADERIS;1
4392;Evalan BV;1
4393;EVALUATIONS AND LANGUAGE RESOURCESDISTRIBUTION AGENCY;1
4394;EVANGELISCHE STIFTUNG VOLMARSTEIN;1
4395;EVANGELISCHES WALDKRANKENHAUS SPANDAU KRANKENHAUSBETRIEBS GGMBH;1
4396;EVANGELOS MIHOPOULOS & SIA OE;1
4397;EVEARA LIMITED;1
4398;EVENFLOW SPRL;1
4399;EVERIS AEROESPACIAL Y DEFENSA SL;1
4400;EVERIS ENERGIA Y MEDIOAMBIENTE SL;1
4401;EVERIS SPAIN SL;3
4402;EVIDENCE SRL;3
4403;EVISION INDUSTRY SOFTWARE BV;1
4404;EVISO SRL;1
4405;EVO BV;1
4406;EVOBUS GMBH;2
4407;EVOCATAL GMBH;2
4408;EVOGENE LTD;1
4409;EVOLARIS NEXT LEVEL GMBH;2
4410;EVOLEO TECHNOLOGIES LDA;2
4411;EVOLOGICS GMBH;2
4412;Evolute GmbH;1
4413;EVOLUTION;1
4414;EVOLUTION ENVIRONMENTAL SERVICES LTD;1
4415;EVONIK CREAVIS GMBH;2
4416;EVONIK INDUSTRIES AG;5
4417;EVONIK NUTRITION & CARE GMBH;1
4418;EVONIK PERFORMANCE MATERIALS GMBH;1
4419;EVONIK TECHNOLOGY & INFRASTRUCTURE GMBH;1
4420;EVOPARK GMBH;1
4421;EVOPLAN AG;1
4422;EVOPRO INNOVATION KFT;2
4423;EVOTEC AG*;1
4424;EVRIKLIS FITSAKIS;1
4425;EVRO-SREDOZEMSKA UNIVERZA;3
4426;EVROPEJSKA ASOCIACIJA PO NANONAUKI I NANOTEHNOLOGII SDRUZHENIE;1
4427;EVROPSKA UROGYNEKOLOGICKA SPOLECNOST;1
4428;EVRY NORGE AS;1
4429;EVRYTHNG LIMITED;1
4430;EWAVE LTD;1
4431;EWE-Forschungszentrum für Energietechnologie e. V.;2
4432;EWE AKTIENGESELLSCHAFT;1
4433;EXACT LAB SRL;1
4434;EXAFAN SA;1
4435;EXALOS AG;1
4436;EXATEL S.A.;1
4437;EXC SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;1
4438;EXCITE YOUTH FOR ENGINEERING, SCIENCE AND TECHNOLOGY;1
4439;EXDWARF CONSULTING SRO;1
4440;EXECON PARTNERS GMBH;1
4441;EXEL RUDOLF;1
4442;EXEMPLAS HOLDING LIMITED;2
4443;EXERGY LTD;3
4444;EXERGYN LIMITED;1
4445;EXIRIS SRL;1
4446;EXIS INNOVATION LTD;3
4447;EXMILE SOLUTIONS LIMITED;1
4448;EXO MAKINA;1
4449;EXODUS A.E.;2
4450;EXOR EVS, STORITVE IN OPREMA, DOO;1
4451;EXPERT SYSTEM IBERIA SL;2
4452;EXPERT SYSTEM S.P.A.;2
4453;EXPERT TOOLING & AUTOMATION LIMITED;1
4454;EXPLICIT IS;1
4455;EXPLODED VIEW SL;1
4456;EXPLORA SRL;2
4457;Exploraciones Radiológicas Especiales S.L.;1
4458;EXPORTHUNGARY NEMZETKOZI KERESKEDEL MI ES VALLALKOZASFEJLESZTESI KORLATOLT FELELOSSEGU TARSASAG;1
4459;EXPOSICION Y CONSERVACION DE ALIMENTOS Sa;1
4460;EXPRIVIA HEALTHCARE IT SRL;1
4461;EXTENSIVE LIFE OY;1
4462;EXUS SOFTWARE LTD;5
4463;EYDITI ENERGEIAKOS KAI PERIBALLONTIKOS SCHEDIASMOS EPE;1
4464;EYE-D APS;1
4465;EYEBRAIN;1
4466;EYEDPRO LTD;1
4467;F-LAB SRL;1
4468;F-SECURE OYJ;3
4469;F AIR SPOL SRO;1
4470;F. HOFFMANN-LA ROCHE AG;3
4471;F.M. MANAGEMENT CONSULTANCY SRL;1
4472;F.P.D. S.R.L.;1
4473;F6S NETWORK LIMITED;5
4474;Fédération Européenne des Producteurs Aquacoles;1
4475;Försvarshögskolan, Swedish National Defence College;1
4476;FAAR INDUSTRY;1
4477;FABENTECH;1
4478;FABLAB UDRUGA ZA POMICANJE DIGITALNE FABRIKACIJE;1
4479;FABPULOUS BV;1
4480;FABRICA DE JUGUETES SL;1
4481;FACE RECORDING AND MEASUREMENT SYSTEMS LTD;1
4482;FACEPHI BIOMETRIA SA;1
4483;Fachagentur Nachwachsende Rohstoffe e.V.;10
4484;FACHHOCHSCHULE AACHEN;1
4485;FACHHOCHSCHULE BURGENLAND GMBH;2
4486;Fachhochschule der Polizei des Landes Brandenburg;1
4487;FACHHOCHSCHULE FUR OFFENTLICHE VERWALTUNG UND RECHTSPFLEGE IN BAYERN;3
4488;FACHHOCHSCHULE KIEL;1
4489;FACHHOCHSCHULE MUNSTER;2
4490;FACHHOCHSCHULE NORDWESTSCHWEIZ;8
4491;FACHHOCHSCHULE POTSDAM;1
4492;FACHHOCHSCHULE ST POELTEN GMBH;1
4493;FACHINFORMATIONSZENTRUM KARLSRUHE GESELLSCHAFT FUR WISSENSCHAFTLICH-TECHNISCHE INFORMATION GMBH;1
4494;FACHVERBAND BIOGAS EV;1
4495;FACILITY FOR ANTIPROTON AND ION RESEARCH IN EUROPE GMBH;1
4496;FACIT RESEARCH GMBH & CO. KG;1
4497;FACTOR 4 BVBA;3
4498;FACTOR SOCIAL - CONSULTORIA EM PSICO - SOCIOLOGIA E AMBIENTE LDA;1
4499;FACTORVERDE SA;1
4500;FACULDADE DE CIENCIAS E TECNOLOGIADA UNIVERSIDADE NOVA DE LISBOA;1
4501;FACULDADE DE CIENCIAS MEDICAS DA UNIVERSIDADE NOVA DE LISBOA;2
4502;FACULDADE DE CIENCIAS SOCIAIS E HUMANAS DA UNIVERSIDADE NOVA DE LISBOA;3
4503;Faculdade de Farmácia da Universidade de Lisboa;1
4504;FACULDADE DE MEDICINA DA UNIVERSIDADE DE LISBOA;1
4505;FACULDADE DE MEDICINA VETERINARIA;1
4506;FACULDADE DE MOTRICIDADE HUMANA;2
4507;FACULTE DE DROIT ET DES SCIENCES POLITIQUES DE TUNIS;1
4508;FACULTY OF AGRICULTURE - UNIVERSITY OF BELGRADE;4
4509;FACULTY OF CIVIL ENGINEERING;2
4510;Faculty of Mathematics, University of Belgrade;1
4511;FACULTY OF SCIENCE UNIVERSITY OF ZAGREB;2
4512;FACULTY OF SCIENCES OF TUNIS, UNIVERSITY OF TUNIS EL MANAR;1
4513;FAGOR ARRASATE S COOP;2
4514;FAGOR AUTOMATION S COOP LTDA;1
4515;FAGOR EDERLAN S.COOP.;3
4516;FAIRPHONE BV;1
4517;FAIRSPECTRUM OY;1
4518;FAIVELEY TRANSPORT ITALIA SPA;1
4519;FAKULTET INZENJERSKIH NAUKA UNIVERZITETA U KRAGUJEVCU;2
4520;FAKULTETA ZA INFORMACIJSKE STUDIJE V NOVEM MESTU;1
4521;FAKULTNI NEMOCNICE U SV. ANNY V BRNE;3
4522;FAKULTNI NEMOCNICE V MOTOLE;3
4523;Falck Danmark A/S;1
4524;FALCON-VISION MUSZAKI FEJLESZTO ES SZOLGALTATO ZARTKORUEN MUKODO RT;1
4525;FALEX TRIBOLOGY NV;1
4526;FAR-UK LTD;1
4527;FARAPI KOOPERATIBA ELKARTEA;1
4528;FARINA PRESSE SRL;1
4529;FARMA OBORIN SRO;1
4530;Farmerline Ltd;1
4531;FARSENS, S.L;1
4532;FARVEST SARL;1
4533;FASERINSTITUT BREMEN EV;1
4534;FASMETRICS YPIRESIES KAI PROIONTA ILEKTROMAGNITIKON PEDION ANONYMI ETAIREIA;1
4535;FAST - FEDERAZIONE DELLE ASSOCIAZIONI SCIENTIFICHE E TECNICHE;2
4536;FAST SPA;1
4537;FAST TRACK DIAGNOSTICS LUXEMBOURG SARL;1
4538;FASTENICA SRL;1
4539;FASTLINE GMBH & CO. KG;1
4540;FASTLITE SARL;1
4541;FASTOPT GMBH;1
4542;FAUBOURG NUMERIQUE SERVICES ET OBJETS CONNECTES;1
4543;FAUL ANDREAS;1
4544;FAURECIA AUTOMOTIVE COMPOSITES;1
4545;FAURECIA AUTOMOTIVE EXTERIORS ESPAÑA, S.A;1
4546;FAVERO ANTONIO S.R.L.;1
4547;FBCONSULTING SARL;1
4548;FCC AQUALIA SA;2
4549;FCC CONSTRUCCION SA;2
4550;FCI DEUTSCHLAND GMBH;1
4551;FCT HARTBEARBEITUNGS GMBH;1
4552;FCT INGENIEURKERAMIK GMBH;1
4553;FDS ITALY S.R.L.;1
4554;FEDERACION ANDALUZA DE ASOCIACIONES DE GANADO CAPRINO DE RAZA PURA, CABRANDALUCIA;1
4555;FEDERACION ANDALUZA DE EMPRESAS COOPERATIVAS AGRARIAS COOP;1
4556;FEDERACION ANDALUZA DE MUNICIPIOS Y PROVINCIAS;1
4557;FEDERACION ASTURIANA DE EMPRESARIOS;1
4558;FEDERACION DE EMPRESARIOS DE LA RIOJA;2
4559;FEDERACION EMPRESARIAL DE AGROALIMENTACION DE LA COMUNIDAD VALENCIANA(FEDACOVA);1
4560;FEDERACION VALENCIANA DE EMPRESARIOS DE LA CONSTRUCCION;1
4561;FEDERAL-MOGUL FRICTION PRODUCTS GMBH;1
4562;Federal Agency for Nuclear Control;1
4563;FEDERAL DEPARTMENT FOR ENVIRONMENT TRANSPORTS ENERGY AND COMMUNICATION;4
4564;FEDERAL STATE AUTONOMOUS EDUCATIONAL INSTITUTION FOR HIGHER PROFESSIONAL EDUCATION NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS;3
4565;FEDERAL STATE BUDGETARY INSTITUTION OF SCIENCE INSTITUTE OF HISTORY AND ARCHAEOLOGY OF THE URAL BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES;1
4566;FEDERAL STATE BUDGETARY ORGANIZATION B.P. KONSTANTINOV PETERSBURG NUCLEAR PHYSICS INSTITUTE;1
4567;FEDERAL STATE BUDGETARY SCIENTIFIC INSTITUTION CHUMAKOV INSTITUTE OF POLIOMYELITIS AND VIRAL ENCEPHALITIDES;1
4568;FEDERAL STATE INSTITUTION OF SCIENCE INSTITUTE OF PLANT AND ANIMAL ECOLOGY, URAL BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES;1
4569;FEDERAL STATE UNITARY ENTREPRISE THE CENTRAL AEROHYDRODYNAMIC INSTITUTE NAMED AFTER PROF. N.E. ZHUKOVSKY;4
4570;Federale Overheidsdienst Economie, KMO, Middenstand en Energie;1
4571;FEDERALNI ZAVOD ZA GEOLOGIJU SARAJEVO;1
4572;FEDERALNOE GOSUDARSTVENNOE UNITARNOE PREDPRIYATIE CENTRALNII INSTITUTAVIACIONOGO MOTOROSTROENIYA IMENI PI BARANOVA;1
4573;FEDERATIE VAN VERENIGINGEN VOOR VERWARMING EN LUCHTBEHANDELING IN EUROPA VERENIGING;2
4574;FEDERATION AUTONOME DE LA FONCTION PUBLIQUE TERRITORIALE ET DES ETABLISSEMENTS PUBLICS;1
4575;FEDERATION DES SERVICES ENERGIE ENVIRONNEMENT;1
4576;FEDERATION EUROPEENNE DE FINANCES ET BANQUES ETHIQUES ET ALTERNATIVES;1
4577;FEDERATION EUROPEENNE DES AGENCES ET DES REGIONS POUR L'ENERGIE ET L'ENVIRONNEMENT AISBL;2
4578;FEDERATION EUROPEENNE DES GEOLOGUES;7
4579;FEDERATION EUROPEENNE DES HOPITAUX ET DES SOINS DE SANTE;2
4580;FEDERATION INTERNATIONALE DES SOCIETES DE LA CROIX-ROUGE ET DU CROISSANT-ROUGE - SHELTER RESEARCH UNIT ASBL;1
4581;FEDERATION INTERNATIONALE DU DIABETE REGION EUROPE AISBL;1
4582;FEDERATION OF EUROPEAN MATERIALS SOCIETIES;1
4583;FEDERATION REGIONALE DES AGROBIOLOGISTES DE BRETAGNE;1
4584;FEDERATION REGIONALE DES COOPERATIVES D UTILISATION DE MATERIEL AGRICOLE DE L OUEST DE LA FRANCE;1
4585;FEDERAZIONE EUROPEA DI ZOOTECNICA;1
4586;FEDERAZIONE ITALIANA PER L'USO RAZIONALE DELL'ENERGIA;1
4587;FEDIL BUSINESS FEDERATION LUXEMBOURG;1
4588;FEED RESEARCH INSTITUTE CHINESE ACADEMY OF AGRICULTURAL SCIENCES;1
4589;FEI CZECH REPUBLIC SRO;1
4590;FEI ELECTRON OPTICS BV;5
4591;FEI SAS;1
4592;FEIRMEOIRI AONTUITHE NA H-EIREANN IONTAOBIATHE TEORANTA LBG;1
4593;FEJER MEGYEI KERESKEDELMI ES IPARKAMARA;1
4594;FELLNHOFER KATHARINA;1
4595;FEMTOLASERS PRODUKTIONS GMBH;1
4596;FEMTONICS KUTATO ES FEJLESZTO KORLATOLT FELELOSSEGU TARSASAG;1
4597;FENIX DUPNITSA LTD;1
4598;FENIX TNT SRO;4
4599;FENNACO LTD;1
4600;Fent Innovative Software Solutions SL;1
4601;FEOPS NV;2
4602;FERA SCIENCE LIMITED;3
4603;FERALPI SIDERURGICA S.p.A.;1
4604;FERDIAM Srl;1
4605;FERENTIS;1
4606;FERFICS LIMITED;1
4607;FERGUSON MARINE ENGINEERING LTD;1
4608;Fermentationexperts AS;1
4609;FERRARI-SOCIETA' PER AZIONI ESERCIZIO FABBRICHE AUTOMOBILI E CORSE;1
4610;FERRER INTERNATIONAL;1
4611;FERROAMP ELEKTRONIK AB;2
4612;FERROATLANTICA I & D SL;1
4613;FERROCARRIL METROPOLITA DE BARCELONA SA;1
4614;Ferrocarrils de la Generalitat de Catalunya;4
4615;FERROCRTALTC UVOZ-IZVOZ, DOO;1
4616;FERROVIA ADRIATICO SANGRITANA SPA;1
4617;FERROVIAL AGROMAN SA;1
4618;FERTIBERIA SA;1
4619;FERTINAGRO NUTRIENTES, S.L.;1
4620;FESTO AG & CO KG;1
4621;FEV GMBH;3
4622;FEYECON DEVELOPMENT & IMPLEMENTATION BV;2
4623;FFH GESELLSCHAFT ZUR ERHALTUNG UND DURCHFUEHRUNG VON FACHHOCHSCHUL-STUDIENGANGEN MBH;1
4624;FGW FASERGUSSWERK POLENZ GMBH;1
4625;FH OO FORSCHUNGS & ENTWICKLUNGS GMBH;1
4626;FHOSTER SRL;1
4627;FHS ST. GALLEN HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN;1
4628;FIAMM ENERGY STORAGE SOLUTIONS SRL;1
4629;FIANIUM LTD;1
4630;FIAT CHRYSLER AUTOMOBILES ITALY SPA;1
4631;FIATU;1
4632;FIB AND CO;1
4633;FIBERCRYST SAS;1
4634;FIBERNOVA SYSTEMS SL;1
4635;FIBERTECH GROUP SRL;1
4636;FIBL PROJEKTE GMBH;1
4637;FIBRAN INSULATING MATERIALS INDUSTRY DIMITRIOS ANASTASIADIS SA;1
4638;FIBRE TECHNOLOGY LIMITED;1
4639;FIBRES ENERGIVIE;1
4640;FICKERT & WINTERLING MASCHINENBAU GMBH;1
4641;FICO-TRIAD SA;2
4642;FICOMIRRORS SA;1
4643;FIDA SOLUTIONS SRL;1
4644;FIDIA FARMACEUTICI SPA;1
4645;FIDIA SPA;2
4646;FIDMI MEDICAL LTD;1
4647;FIDZUP;1
4648;FIEGE LOGISTIK STIFTUNG & CO. KG;1
4649;FIKE EUROPE BVBA;1
4650;FILANTHROPIKO IDRYMA VIOIATRIKON EREVNON;1
4651;FILIPOVIC MALADA IVANA;1
4652;FILIPOWIAK JAN;1
4653;FILISIA INTERFACES LTD;1
4654;FILL GESELLSCHAFT MBH;2
4655;Film Optics Ltd;1
4656;FILTON SYSTEMS ENGINEERING LTD;1
4657;FIMAP SPA;1
4658;FINA BIOTECH S.L.;1
4659;FINANCE IDEAS BV;1
4660;FINANCE WATCH AISBL;2
4661;FINANCIADORA DE ESTUDOS E PROJETOS;1
4662;FINANZIARIA REGIONALE PER LO SVILUPPO DELLA LOMBARDIA  (FINLOMBARDA);2
4663;FINBIOSOFT OY;1
4664;FINCANTIERI SPA;2
4665;FINCONS GROUP AG;1
4666;FINCONS S.P.A.;3
4667;FIND INVEST GROW;1
4668;FIND MAPPING LIMITED;1
4669;FINDEN LTD;1
4670;FINDOMESTIC BANCA SPA;1
4671;FINDWISE AB;1
4672;FINEPART SWEDEN AB;1
4673;FINEPOWER GMBH;1
4674;FINESSE MEDICAL LIMITED;1
4675;FINEUS PRZEWROCKI SPOLKA JAWNA;1
4676;FINGRID OYJ;1
4677;FINISAR GERMANY GMBH;1
4678;FINN-POWER OY;1
4679;FINNENERGIA OY;1
4680;FINNISH BIOECONOMY CLUSTER FIBIC OY;1
4681;FINNOVAREGIO;1
4682;FINOVATIS;2
4683;FINPRO RY;1
4684;FIORDELISI SRL;1
4685;Fios Genomics Limited;1
4686;FIRE EATER AS;1
4687;FIRMA INSTYTUT ECOLOGII LIUDYNY-INEKO;1
4688;FIRST CORPORATE SHIPPING LTD;1
4689;FIRST LIGHT IMAGING SAS;1
4690;FIRST SOMERSET & AVON LIMITED;1
4691;FISCHER ADVANCED COMPOSITE COMPONENTS AG*FACC AG;3
4692;FISH-PASS;1
4693;FISH - FEDERAZIONE ITALIANA PER IL SUPERAMENTO DELL'HANDICAP ASSOCIAZIONE;1
4694;FISHFIX;1
4695;FISHOR CONSULTING LTD;1
4696;FIT ANALYTICS GMBH;1
4697;FIT BIOTECH OY;1
4698;FIT CONSULTING SRL;2
4699;FITOPLANCTON MARINO, S.L.;2
4700;FIZIKALAS ENERGETIKAS INSTITUTS;2
4701;fka Forschungsgesellschaft Kraftfahrwesen mbH Aachen;2
4702;FLABEG FE GMBH;1
4703;FLACHGLAS SACHSEN GMBH;1
4704;FLAG SPA;1
4705;FLAME SPRAY HUNGARY FEMIPARI SZOLGALTATO ES KERESKEDELMI KFT;1
4706;FLAME SPRAY TECHNOLOGIES B.V.;1
4707;FLANDERS INSHAPE;1
4708;FLANDERS MAKE VZW;1
4709;FLATPACK FESTIVAL LTD;1
4710;FLEET INNOVATIONS LTD;1
4711;FLEMING MEDICAL LIMITED;1
4712;FLEXBIMEC INTERNATIONAL SRL;2
4713;FLEXBRIGHT OY;1
4714;FLEXEFELINA SA;1
4715;FLEXENABLE LIMITED;5
4716;Flexiant Limited;3
4717;FLEXIBLE OPTICAL BV;1
4718;FLEXIDRIVE SVERIGE AB;1
4719;FLEXIGUIDED GMBH;1
4720;FLEXION MOBILE LIMITED;2
4721;FLEXIS AG;1
4722;FLIEGL AGRARTECHNIK GMBH;1
4723;Flightradar24 AB;1
4724;FLISOM AG;2
4725;FLOATING POWER PLANT A/S;2
4726;FLORENTIA FOURLI KARTSOUNI KAI SIAEE;1
4727;FLORIDA ATLANTIC UNIVERSITY BOARD OF TRUSTEES;1
4728;FLORIDA INTERNATIONAL UNIVERSITY;2
4729;FLOTEKS PLASTIK SANAYI VE TICARET AS;1
4730;FLUBETECH  S.L.;1
4731;Flughafen Berlin Schönefeld GmbH;1
4732;FLUGHAFEN HAMBURG GMBH;1
4733;FLUID-O-TECH SRL;1
4734;FLUIDHOUSE OY - FH;1
4735;FLUIDION;1
4736;FLUIDTIME DATA SERVICES GMBH;2
4737;FLUXGUIDE AUSSTELLUNGSSYSTEME GMBH;1
4738;FLUXGUIDE AUSSTELLUNGSSYSTEME OG;1
4739;FLUZO STUDIOS SL;1
4740;FLYBY SRL;1
4741;FLYING EYE MANAGEMENTBERATUNG FUR MEDIENINVESTITIONEN GMBH;1
4742;FM LOGISTIC CORPORATE;1
4743;FMC BIOPOLYMER AS;1
4744;FOCAL 2.0 BV;2
4745;FOCAL MEDITECH BV;1
4746;FOKKER AEROSTRUCTURES BV;1
4747;FOKKER ELMO BV;1
4748;FOLDMERESI ES TAVERZEKELESI INTEZET;1
4749;FOLIENWERK WOLFEN GMBH;1
4750;FOLKEHELSEINSTITUTTET;2
4751;FOLKHALSOMYNDIGHETEN;3
4752;Fomento de San Sebastian;2
4753;FON TECHNOLOGY SL;1
4754;FOND ZA ZASTITU OKOLISA I ENERGETSKU UCINKOVITOST;1
4755;FONDACIJA BIZNIS START - UP CENTAR BAR;1
4756;FONDACIJA ZA OBNOVU I RAZVOJ REGIJE VARES;1
4757;FONDACIJA ZA RAZVOJ ODRZIVOG DIZAJNA SARAJEVO;1
4758;FONDATION 2IE ASSOCIATION;1
4759;FONDATION ARC POUR LA RECHERCHE SUR LE CANCER;1
4760;FONDATION DE COOPERATION SCIENTIFIQUE MALADIE D'ALZHEIMER ET MALADIES APPARENTEES;2
4761;FONDATION DE COOPERATION SCIENTIFIQUE RAILENIUM;2
4762;FONDATION DE COOPERATION SCIENTIFIQUE VOIR ET ENTENDRE;1
4763;FONDATION DE L'INSTITUT DE RECHERCHE IDIAP;5
4764;FONDATION EUROPEENNE DE LA SCIENCE;7
4765;FONDATION FRANCAISE POUR LA RECHERCHE SUR LA BIODIVERSITE;2
4766;FONDATION HOPALE;1
4767;FONDATION INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT DURABLE ET LES RELATIONS INTERNATIONALES;2
4768;FONDATION JEAN-JACQUES LAFFONT,TOULOUSE SCIENCES ECONOMIQUES;5
4769;FONDATION MAISON DES SCIENCES DE L'HOMME;1
4770;FONDATION MERIEUX;2
4771;FONDATION NATIONALE DES SCIENCES POLITIQUES;10
4772;FONDATION PARTENARIAL MOV'EOTEC;3
4773;FONDATION PARTENARIALE DE LUNIVERSITE DE LIMOGES;2
4774;FONDATION PIERRE-GILLES DE GENNES POUR LA RECHERCHE;1
4775;FONDATION POUR L INSTITUT DE HAUTES ETUDES INTERNATIONALES ET DU DEVELOPPEMENT;1
4776;Fondation RESTENA;1
4777;FONDATION TOUR DU VALAT;2
4778;Fondatsiya "Evropeyski Softueren Institut - Tsentar Iztochna Evropa";1
4779;FONDATSIYA LIBRE;1
4780;FONDATSIYA ZA BIOLOGICHNO ZEMEDELIEBIOSELENA;1
4781;FONDAZIONE BRUNO KESSLER;21
4782;FONDAZIONE CASA SOLLIEVO DELLA SOFFERENZA;1
4783;FONDAZIONE CENTRO DI DOCUMENTAZIONE EBRAICA CONTEMPORANEA -CDEC - ONLUS;1
4784;FONDAZIONE CENTRO EURO-MEDITERRANEO SUI CAMBIAMENTI CLIMATICI;16
4785;Fondazione Centro Nazionale di Adroterapia Oncologica - Fondazione CNAO;2
4786;Fondazione Centro San Raffaele;4
4787;FONDAZIONE CENTRO SAN RAFFAELE;3
4788;Fondazione Cineteca di Bologna;1
4789;FONDAZIONE CRUI PER LE UNIVERSITA ITALIANE;1
4790;FONDAZIONE DON CARLO GNOCCHI ONLUS;3
4791;FONDAZIONE ECOSISTEMI-ONLUS;1
4792;FONDAZIONE EDMUND MACH;4
4793;FONDAZIONE ENI ENRICO MATTEI;3
4794;FONDAZIONE G.I.M.EM.A. - FRANCO MANDELLI ONLUS;1
4795;FONDAZIONE GIACOMO BRODOLINI;1
4796;FONDAZIONE GIANNINO BASSETTI;1
4797;FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO;1
4798;FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI;3
4799;FONDAZIONE IRCCS ISTITUTO NEUROLOGICO CARLO BESTA;3
4800;FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA;29
4801;FONDAZIONE ISTITUTO PER L'INTERSCAMBIO SCIENTIFICO (I.S.I.);3
4802;FONDAZIONE ISTITUTO SUI TRASPORTI ELA LOGISTICA;2
4803;FONDAZIONE ISTITUTO TECNICO SUPERIORE MOBILITA SOSTENIBILE NEI SETTORITRASPORTI MARITTIMI E DELLA PESCA-ACCADEMIA ITALIANA DELLA MARINA MERC;1
4804;FONDAZIONE MONDO DIGITALE;1
4805;FONDAZIONE MUSEO NAZIONALE DELLA SCIENZA E DELLA TECNOLOGIA LEONARDO DA VINCI;1
4806;FONDAZIONE OSPEDALE SAN CAMILLO;1
4807;Fondazione Parco Tecnologico Padano;1
4808;FONDAZIONE PER L'ISTITUTO DI RICERC A IN BIOMEDICINA;2
4809;FONDAZIONE PER LA RICERCA BIOMEDICA AVANZATA ONLUS;1
4810;FONDAZIONE PER LA RICERCA E L'INNOVAZIONE;1
4811;FONDAZIONE PER LA RICERCA E LA CURA DEI LINFOMI NEL TICINO;1
4812;FONDAZIONE PER LO SVILUPPO SOSTENIBILE DEL MEDITERRANEO;1
4813;FONDAZIONE POLIAMBULANZA;1
4814;FONDAZIONE POLITECNICO DI MILANO;4
4815;FONDAZIONE SANTA LUCIA;7
4816;Fondazione Stella Maris;1
4817;FONDAZIONE TELETHON;3
4818;FONDAZIONE TORINO WIRELESS;1
4819;FONDAZIONE TOSCANA GABRIELE MONASTERIO PER LA RICERCA MEDICA E DI SANITA PUBBLICA;1
4820;FONDAZIONE UGO BORDONI;1
4821;FONDAZIONE UMBERTO VERONESI;1
4822;Fondazione Universitaria INUIT Tor Vergata;1
4823;FONDAZIONE VEL;1
4824;Fonden Teknologirådet;3
4825;FONDEN VAEKSTHUS HOVEDSTADSREGIONEN;1
4826;FONDERIA MASPERO SRL;1
4827;FONDERIE CERVATI S.R.L;2
4828;FONDERIE MORA GAVARDO SPA;1
4829;FONDS DE RECHERCHE DU QUEBEC - SANTE;2
4830;FONDS NATIONAL DE LA RECHERCHE;6
4831;FONDS NATIONAL DE LA RECHERCHE SCIENTIFIQUE;14
4832;FONDS VOOR WETENSCHAPPELIJK ONDERZOEK-VLAANDEREN;12
4833;FONDS ZUR FÖRDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG;7
4834;FONROCHE GEOTHERMIE SAS;1
4835;FONTERRA EUROPE COOPERATIE UA;1
4836;FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS FAO;16
4837;FOOD NATION CIC;1
4838;FOOD SAFETY AUTHORITY OF IRELAND;1
4839;FOODCASE INTERNATIONAL BV;1
4840;FOODCOMPANIONS BV;1
4841;FOODDRINKEUROPE AISBL;1
4842;FOODLIFE INTERNATIONAL BILIMSEL DANISMANLIK PROJE YONETIMI EGITIM ARASTIRMA GELISTIRME SANAYI VE TICARETLIMITED SIRKETI;1
4843;FOODLOOP GMBH;1
4844;FOR OPTIMAL RENEWABLE ENERGY SYSTEMS SL;1
4845;FORCE TECHNOLOGY;1
4846;FORD-WERKE GMBH;5
4847;FORD FORSCHUNGSZENTRUM AACHEN GMBH;2
4848;FORD MOTOR COMPANY LIMITED;1
4849;FORD OTOMOTIV SANAYI ANONIM SIRKETI;1
4850;Foreco Technologies S.L;1
4851;FOREDATA OY;1
4852;FORENINGEN EU OG INTERNATIONALT SAMARBEJDE I SYDDANMARK - F.M.B.A.;1
4853;FORES MEDIA LIMITED;1
4854;FORESA INDUSTRIAS QUIMICAS DEL NOROESTE SA;1
4855;FORESEETI AB;1
